State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct
Alabama,1,2005,2944634,72646,941983,175947,418334,196856,398907,164897,43349,23455,2363728,80.27
Alaska,2,2005,387609,4110,112102,28929,76352,29751,66674,28723,6375,3969,352875,91.04
Arizona,4,2005,3703355,86885,948896,290439,618743,300033,601547,241259,68500,35406,3104823,83.84
Arkansas,5,2005,1777242,43257,631853,119791,254394,98353,223069,78480,21829,11939,1439708,81.01
California,6,2005,22299041,675434,4868430,1435974,3256900,1709579,4215208,1569864,505644,295244,17856843,80.08
Colorado,8,2005,2964773,57064,706673,190557,449186,231380,685481,259801,64676,41219,2628973,88.67
Connecticut,9,2005,2300565,42118,675701,129353,249919,163904,459099,245405,64701,34010,2022092,87.9
Delaware,10,2005,551079,12794,181831,33252,66614,38176,90574,42809,10139,8357,471752,85.61
District of Columbia,11,2005,371932,10043,78164,14881,37162,12338,74565,53494,27712,12537,310853,83.58
Florida,12,2005,11850782,341459,3619623,856642,1572229,997871,1936734,682565,248139,111150,10024953,84.59
Georgia,13,2005,5632169,124252,1669685,346304,759806,357060,992829,375150,107223,53660,4661717,82.77
Hawaii,15,2005,828917,14792,253116,45978,122356,76867,155858,49069,16673,10041,729958,88.06
Idaho,16,2005,877031,17878,259993,71023,155546,69670,139596,45913,10971,7893,760605,86.72
Illinois,17,2005,8079881,181694,2283031,578545,1108107,594479,1480111,622304,170990,88532,6926099,85.72
Indiana,18,2005,3956723,80181,1468342,280602,509350,276886,534551,215365,56688,34272,3376056,85.32
Iowa,19,2005,1927018,29681,692441,136070,261614,176941,317164,95001,30263,16279,1725773,89.56
Kansas,20,2005,1725825,25514,520710,142487,257591,124662,320356,118757,30162,16687,1531412,88.74
Kentucky,21,2005,2715805,55501,941493,169361,336290,174123,312484,150050,40945,20376,2145122,78.99
Louisiana,22,2005,2791859,66690,977629,158641,408974,127732,375088,126432,49141,23722,2247359,80.5
Maine,23,2005,899536,13295,325305,49401,113417,82032,152744,53115,14850,9628,800492,88.99
Maryland,24,2005,3583616,86227,955095,243795,458021,224327,691771,371356,100266,74567,3119198,87.04
Massachusetts,25,2005,4243260,81069,1164066,217752,460613,327297,895971,465688,112906,89593,3733886,88.0
Michigan,26,2005,6454327,136465,2026459,509756,973031,516393,977313,444082,113009,57102,5617145,87.03
Minnesota,27,2005,3292174,49076,923552,233730,511521,313973,690482,218705,67213,34458,2993634,90.93
Mississippi,28,2005,1797084,42588,575561,100963,257002,140767,218351,79507,24839,12863,1409853,78.45
Missouri,29,2005,3729604,78969,1249751,285874,518936,222586,572749,225500,62647,33589,3171632,85.04
Montana,30,2005,619546,9038,197873,45961,109020,45384,114067,33072,9477,7293,562147,90.74
Nebraska,31,2005,1109836,16237,340138,85539,166887,97911,208864,63549,20278,10137,993303,89.5
Nevada,32,2005,1554923,50680,478672,127718,251355,108486,218353,67670,24207,10742,1287203,82.78
