State,State_FIPS,Year,Total_Pop_25_Plus,Edu_12th_No_Diploma,Edu_HS_GED_or_Equiv,Edu_Some_College_Less_1_Year,Edu_Some_College_1_Plus_Year,Edu_Associates_Degree,Edu_Bachelors_Degree,Edu_Masters_Degree,Edu_Professional_Degree,Edu_Doctorate_Degree,HS_Grad_or_Higher_Count,HS_Grad_or_Higher_Pct,Avg Annual Total Civilian Non-Institutional Population in State/Area,Avg Annual Total Civilian Labor Force in State/Area,Avg Annual Total Employment in State/Area,Avg Annual Total Unemployment in State/Area,Annual Percent (%) of Unemployed in State/Area,Annual Percent (%) of Labor Force Population,Annual Percent (%) of Total Employment in State/Area
Alabama,1,2005,2944634,72646,941983,175947,418334,196856,398907,164897,43349,23455,2363728,80.27,3477391,2140116,2044937,95179,4.45,61.54,58.81
Alaska,2,2005,387609,4110,112102,28929,76352,29751,66674,28723,6375,3969,352875,91.04,480222,344135,320288,23847,6.93,71.66,66.7
Arizona,4,2005,3703355,86885,948896,290439,618743,300033,601547,241259,68500,35406,3104823,83.84,4465451,2862538,2729310,133228,4.65,64.1,61.12
Arkansas,5,2005,1777242,43257,631853,119791,254394,98353,223069,78480,21829,11939,1439708,81.01,2112848,1333987,1263888,70099,5.25,63.14,59.82
California,6,2005,22299041,675434,4868430,1435974,3256900,1709579,4215208,1569864,505644,295244,17856843,80.08,26761750,17537646,16594411,943234,5.38,65.53,62.01
Colorado,8,2005,2964773,57064,706673,190557,449186,231380,685481,259801,64676,41219,2628973,88.67,3548120,2572486,2442174,130313,5.07,72.5,68.83
Connecticut,9,2005,2300565,42118,675701,129353,249919,163904,459099,245405,64701,34010,2022092,87.9,2677266,1794540,1708319,86221,4.8,67.03,63.81
Delaware,10,2005,551079,12794,181831,33252,66614,38176,90574,42809,10139,8357,471752,85.61,644982,433313,413863,19450,4.49,67.18,64.17
District of Columbia,11,2005,371932,10043,78164,14881,37162,12338,74565,53494,27712,12537,310853,83.58,466613,318148,295924,22224,6.99,68.18,63.42
Florida,12,2005,11850782,341459,3619623,856642,1572229,997871,1936734,682565,248139,111150,10024953,84.59,13894684,8647734,8400945,246789,2.85,62.24,60.46
Georgia,13,2005,5632169,124252,1669685,346304,759806,357060,992829,375150,107223,53660,4661717,82.77,6747800,4598017,4336463,261555,5.69,68.14,64.26
Hawaii,15,2005,828917,14792,253116,45978,122356,76867,155858,49069,16673,10041,729958,88.06,951366,625570,607928,17642,2.82,65.75,63.9
